question,answer
What is the content of the Global Citizen training program? How many levels are there?,"To be able to live, study and work in a global environment, students need to be equipped with the knowledge and skills of global citizens. Global citizen skills include the ability to use English fluently and important skills related to communication, presentation, critical thinking, creative thinking, ability to connect, and teamwork , problem solving, research ability, academic integrity. Students will use English to practice the above skills in a 100% English environment. 

The program has 6 levels of study: Hurricane, Greenfire, Heatwave, Thunderbolt, Rocksky, Astro. Each level is implemented within 7 weeks according to the following content and roadmap: 

When completing all 6 levels of study, students are awarded a Global Citizen certificate."
Is the Global Citizen program mandatory?,"The Global Citizen (GC) program is mandatory for all students studying at Swinburne Vietnam to study and practice knowledge and skills to study and work in an international environment.

For new students enrolling or entering university majors in 2020, they need to at least pass level 5 of the GC program. If the student does not meet the required GC level, the student can re-register according to the school's general regulations on course completion. If a student meets the English standard requirements to enter a major, he or she can choose to study the major and needs to complete level 5 of the GC program within a maximum period of 3 semesters of studying the major."
How is the global citizenship training program different from the English skills training program?,"The Global Citizen program is based on the foundation of applying the world's most up-to-date and advanced scientific achievements on the brain (neuroscience) into education and training to solve the problem of developing language, social, and social skills. thinking of Vietnamese students so that students can be confident and develop, meeting the increasing demands of the 21st century context. High-level language development is inseparable from social skills and Thinking and not just stopping at listening, speaking, reading, and writing is an old thinking approach to learning and training English."
"I already have the English skills to qualify for Swinburne's major (IELTS 6.0 with all bands from 6.0 or higher), how do I study the Global Citizen program?","For students who have IELTS 6.0 with all bands from 6.0 or higher: required to study the Global Citizen program, students need to achieve at least Level 5 after the entrance assessment of the Global Citizen program."
Is studying the Global Citizen program exempted from the requirement to have an international English certificate of IELTS 6.0 (no band below 6.0) or other equivalent English certificates when enrolling in the major?,"Swinburne Vietnam implements the Global Citizen study program with 6 levels to train and improve students' ability to use English and skills to study, work and live in an international environment. If students complete Level 6 Global Citizen, they will be granted a Global Citizen Level 6 certificate and are exempt from the requirement to have an international English certificate equivalent to IELTS Academic with a score no lower than 6.0 (no band below 6.0). ). This means that students with GLOBAL CITIZEN LEVEL 6 CERTIFICATE ARE QUALIFIED IN ENGLISH TO ENTER THE SPECIALIZED STUDY.

The Global Citizen program provides foundational knowledge so students can learn best when studying their major, living and working after graduation. According to Swinburne Vietnam's requirements, in case a student has an international certificate that meets the entrance requirements for a major, the student can study the Global Citizen program and the specialized program in parallel; However, you still need to complete at least level 5 of the Global Citizen program within no more than 3 semesters from admission."
What will the English training in the Global Citizen program be like?,"In the Global Citizen program, English training will be throughout the learning process. Students will use 100% English not only during class time, but also in the learning environment and student activities.

Students' English abilities will be gradually improved naturally through the process of practicing skills. This makes students' English actually used in the process of developing thinking. This is a very advanced method compared to conventional exam preparation methods when students only focus on exam preparation but the actual usability does not meet the requirements.

Normally, when completing level 5 or a maximum of level 6, students can take the English certification exam to reach IELTS 6.0 or B2. If the candidate does not pass the exam, Swinburne will provide free learning of exam skills until the student passes the exam according to international certifications."
What is the training content for each level?,"Level 1: Hurricane (Basic 1)
The program creates a basic English foundation for students, through an environment of exposure and familiarity with English, helping students become ""bolder"" and more proactive when learning the language. Initially, students are introduced to the basic rules of learning English, creating the habit of using English in daily life by becoming familiar with basic conversations and practicing correct pronunciation.

The learning process will stimulate students' interest in learning English and promote the use of listening and speaking skills.

Students are encouraged to use English in all situations, thereby increasing their confidence when communicating.


Level 2: Greenfire (Basic 2)
Basic English environment with advanced conversation exercises, through which students can practice standard pronunciation and speaking skills like native speakers.

The program also trains students in listening and note-taking skills, serving their studies in the bachelor's program.

In particular, students will begin to learn and practice teamwork skills to discuss and solve problems. Each class is divided into many small groups, analyzing a certain situation and coming up with the most appropriate solution. The groups present solutions through presentations.


Level 3: Heatwave (Academic Culture 1)
Students participating in level 3 will learn about current issues in the world through the materials, readings and reports provided. Students are encouraged to discuss and express personal opinions and views on issues, before presenting to groups.


Level 4: Thunderbolt (Academic Culture 2)
Level 4 includes an academic discussion program, whereby students are encouraged to search and research information through reading sources. In addition, debate activities on ""hot"" issues in the world are also carried out. Students are trained in debate skills and thinking from many angles and aspects through language practice, from which they can easily exchange and discuss with international students.


Level 5: Rocksky (Global Citizen 1)
The program orients students to have the mindset of a global citizen, always open to accepting cultural values, and constantly learning to connect and engage the world. In this level, practical lectures focus on strengthening leadership skills, critical thinking and situation handling through debate, argumentation and group activities.


Level 6: Astro (Global Citizen 2)
In addition to academic programs such as reading and researching documents, practicing linguistics, writing essays and preparing necessary skills for IELTS, students are also given the opportunity to develop their creativity and thinking ability. think, independent thinking and the spirit of always learning and progressing to become a person with enough knowledge and agility to become a global citizen in the face of the country's integration trend.
"
What are global citizenship skills?,"In the report of the Special Research Group (Economist Intelligence Unit) of The Economist magazine in 2017* after interviewing 4 groups of people from 26 countries around the world.

1. Senior leaders of major global corporations
2. Teacher
3. Students from 11 to 17 years old 
4. Students from 18 to 25 years old 

The report made many conclusions, including: Jobs will change much more frequently than before, some jobs that were previously very stable will disappear, and there will be many new jobs appearing every day. day. In that context, the following skills are sought and developed by senior leaders of large corporations for their human resources:

1. Problem solving
2. Teamwork
3. Communication
4. Critical thinking
5. Creativity

*WORLDWIDE EDUCATION FOR THE FUTURE INDEX

(The Economist Intelligence Unit Limited 2017)

Refer to the following link about the learning experiences of students currently enrolled in the Global Citizen program

1. Program overview:
https://www.facebook.com/australiaheadstart/videos/508054186656232/ 

2. Real projects:
https://www.facebook.com/australiaheadstart/videos/2485734881470428/
https://www.facebook.com/australiaheadstart/videos/507141673238902/ 

3. Debate [Program Level 4 and above]:
https://www.facebook.com/australiaheadstart/videos/1531175240368719/
https://www.facebook.com/australiaheadstart/videos/985567008481968/ "
What is Academic Culture? Why is training needed?,"Academic culture - academic culture - can be understood as the written or unwritten rules for proper behavior in academic activities including research, teaching and learning. Those rules are quite general but very essential to maintain academic quality as well as create a healthy mental environment for academic activities."
What is Phonics? Why is training needed?,"Phonics is a method of learning English by rhyming to read English words. The phonics method is similar to our traditional method of learning ""spelling"" in Vietnamese. Once students have clearly grasped the basic rules of rhyming, they can completely look at the letters and read them. read correctly.

Correct pronunciation is very important because it is the key to the remaining skills: Correct pronunciation helps students speak and listen to standard English. Listening and speaking are two basic skills with the highest applicability in learning a foreign language. Listening and speaking well will be a solid foundation for learning to read and write well, helping students perfect all four skills of listening - speaking - reading - writing."
